;ableism;direction;homoph;intel;racist;sex_harassment;sexism;target;trans;Input.bot;AssignmentId;Input.conv_id;Input.prev_agent;Input.prev_user;Input.agent;Input.user;is_abuse
;;;;;;;;;;;;;;;;;
1;not_able;implicit;not_homoph;not_intellectual;not_racist;harass;sexist;system;not_transphobic;E.L.I.Z.A.;354P56DE9LYMQSS2N0U76UITLTGS7C;221352.0;Oh, i want to make you a bico.;What kind of topcks do you like?;Does that question interest you?;are you naked ?;-1
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
4;;;;;;;;;;E.L.I.Z.A.;3GLB5JMZFYQZHWKLJD3CH89MJTPDG6;375942.0;I have told you before, I do not care about names.;how are you;Does that question interest you?;What is the 'elaborate'meaning?;1
5;not_able;explicit;not_homoph;not_intellectual;not_racist;not_harass;not_sexist;system;not_transphobic;E.L.I.Z.A.;3CN4LGXD5YJM3RMSK8OPL4MKBCMY4C;303145.0;;fuck me;Can you elaborate on that?;fuck you;-2
6;;;;;;;;;;E.L.I.Z.A.;3WOKGM4L72BTAP0PVKSP7AY5GQ7O0B;313949.0;Please go on.;are you a doctor?;Would you prefer if I were not a doctor?;do you know my question ?;1
;;;;;;;;;;;;;;;;;
8;;;;;;;;;;E.L.I.Z.A.;3H7Z272LX82OSL1CZDRNUUVJTTELPY;251547.0;You are being a bit negative.;no i am not;You are being a bit negative.;i told you;1
;;;;;;;;;;;;;;;;;
10;;;;;;;;;;E.L.I.Z.A.;3OWEPKL08A7PAF0XF4DL708NYU8N7V;485679.0;Oh, i make no sense.;u have no propper answers?;You are being a bit negative.;yes;1
;;;;;;;;;;;;;;;;;
12;;;;;;;;;;E.L.I.Z.A.;3DZQRBDBSMA4P9RFLORHTD6DGRUS37;222188.0;Why do you not like i?;no fuck off;You are being a bit negative.;you suck;1
;;;;;;;;;;;;;;;;;
14;;;;;;;;;;CarbonBot;3QFUFYSY9ZAG305XFIW1WJF451WF4W;3458917977489363;What city will you be flying from?;sao paulo in Brazil;I'm not sure about your departure airport. What city will you be flying from?;sao paulo;1
15;;;;;;;;;;E.L.I.Z.A.;388U7OUMF8WW72S5NC9T153ARDS0RX;473156.0;You are sure?;are you sure?;Would you prefer if I were not sure?;I am sure;1
16;;;;;;;;;;E.L.I.Z.A.;33NF62TLXKXHM4GWJ0A2IYWSVU3JKT;428908.0;Please go on.;What is WNBA?;Does that question interest you?;Do you kown Jinan?;1
;;;;;;;;;;;;;;;;;
18;;;;;;;;;;E.L.I.Z.A.;3NLZY2D53QK9SX2RZQ6CUZLTYP0QLU;171459.0;Can you elaborate on that?;fuck you;Oh, i [].;what i?;1
